mgo mn2 mn1 ctau mode dM(go,n2) dM(n2,n1)
2000 1950 1900 10 22 50 50
2000 1950 1500 10 22 50 450
2000 1950 1000 10 22 50 950
2000 1950 500 10 22 50 1450
2000 1950 250 10 22 50 1700
2000 1950 1 10 22 50 1949
2000 1900 1500 10 22 100 400
2000 1900 1000 10 22 100 900
2000 1900 500 10 22 100 1400
2000 1900 250 10 22 100 1650
2000 1900 1 10 22 100 1899
2000 1500 1000 10 22 500 500
2000 1500 500 10 22 500 1000
2000 1500 250 10 22 500 1250
2000 1500 1 10 22 500 1499
2000 1000 500 10 22 1000 500
2000 1000 250 10 22 1000 750
2000 1000 1 10 22 1000 999
2000 500 250 10 22 1500 250
2000 500 1 10 22 1500 499
2500 1500 1000 10 22 1000 500
1500 1000 500 10 22 500 500
